SPPARKS (18 May 2017)
Reading site file ...
  15872 sites
  71680 neighbors
  31744 values
  512 sites have 1 neighbors
  256 sites have 2 neighbors
  5120 sites have 3 neighbors
  4864 sites have 4 neighbors
  0 sites have 5 neighbors
  0 sites have 6 neighbors
  5120 sites have 7 neighbors
Setting up run ...
Running with 32-bit site IDs
Memory usage per processor = 1.08984 Mbytes
      Time    Naccept    Nreject    Nsweeps        CPU events O OH Hf HfX4O HfHX4O HfH2X4O HfH3X4O HfH4X4O HfX4OH HfHX4OH HfH2X4OH HfH3X4OH HfH4X4OH OH2
  0.000185   22905383          0          0   2.89e+03 442 440 72 0 0 0 0 0 0 0 0 0 0 0 0
   0.00019   23396564          0          0   2.95e+03 426 440 72 0 0 0 0 0 0 0 0 0 0 0 0
  0.000195   23888985          0          0   3.02e+03 437 440 72 0 0 0 0 0 0 0 0 0 0 0 0
    0.0002   24383173          0          0   3.08e+03 439 440 72 0 0 0 0 0 0 0 0 0 0 0 0
  0.000205   24875188          0          0   3.15e+03 582 440 72 0 0 0 0 0 0 0 0 0 0 0 0
   0.00021   25366076          0          0   3.21e+03 569 440 72 0 0 0 0 0 0 0 0 0 0 0 0
  0.000215   25856488          0          0   3.27e+03 598 440 72 0 0 0 0 0 0 0 0 0 0 0 0
   0.00022   26347298          0          0   3.34e+03 570 440 72 0 0 0 0 0 0 0 0 0 0 0 0
  0.000225   26842294          0          0    3.4e+03 573 439 73 0 0 0 0 0 0 0 0 0 0 0 0
   0.00023   27336431          0          0   3.46e+03 578 439 73 0 0 0 0 0 0 0 0 0 0 0 0
  0.000235   27832021          0          0   3.53e+03 570 439 73 0 0 0 0 0 0 0 0 0 0 0 0
   0.00024   28326772          0          0   3.59e+03 584 439 73 0 0 0 0 0 0 0 0 0 0 0 0
  0.000245   28820087          0          0   3.66e+03 583 440 72 0 0 0 0 0 0 0 0 0 0 0 0
   0.00025   29310828          0          0   3.72e+03 585 440 72 0 0 0 0 0 0 0 0 0 0 0 0
  0.000255   29803440          0          0   3.78e+03 573 440 72 0 0 0 0 0 0 0 0 0 0 0 0
   0.00026   30295804          0          0   3.84e+03 568 440 72 0 0 0 0 0 0 0 0 0 0 0 0
  0.000265   30787473          0          0   3.91e+03 562 440 72 0 0 0 0 0 0 0 0 0 0 0 0
   0.00027   31279765          0          0   3.97e+03 583 440 72 0 0 0 0 0 0 0 0 0 0 0 0
  0.000275   31772899          0          0   4.03e+03 582 440 72 0 0 0 0 0 0 0 0 0 0 0 0
   0.00028   32268760          0          0    4.1e+03 558 439 73 0 0 0 0 0 0 0 0 0 0 0 0
  0.000285   32768241          0          0   4.16e+03 581 437 75 0 0 0 0 0 0 0 0 0 0 0 0
   0.00029   33267838          0          0   4.23e+03 558 438 74 0 0 0 0 0 0 0 0 0 0 0 0
  0.000295   33765043          0          0   4.29e+03 580 438 74 0 0 0 0 0 0 0 0 0 0 0 0
    0.0003   34263577          0          0   4.35e+03 560 438 74 0 0 0 0 0 0 0 0 0 0 0 0
  0.000305   34760621          0          0   4.42e+03 432 438 74 0 0 0 0 0 0 0 0 0 0 0 0
   0.00031   35259794          0          0   4.48e+03 436 438 74 0 0 0 0 0 0 0 0 0 0 0 0
  0.000315   35758198          0          0   4.55e+03 440 438 74 0 0 0 0 0 0 0 0 0 0 0 0
   0.00032   36257287          0          0   4.61e+03 455 438 74 0 0 0 0 0 0 0 0 0 0 0 0
  0.000325   36757685          0          0   4.67e+03 445 438 74 0 0 0 0 0 0 0 0 0 0 0 0
   0.00033   37256448          0          0   4.74e+03 450 438 74 0 0 0 0 0 0 0 0 0 0 0 0
  0.000335   37753072          0          0    4.8e+03 446 438 74 0 0 0 0 0 0 0 0 0 0 0 0
   0.00034   38252614          0          0   4.87e+03 457 438 74 0 0 0 0 0 0 0 0 0 0 0 0
  0.000345   38751377          0          0   4.93e+03 459 438 74 0 0 0 0 0 0 0 0 0 0 0 0
   0.00035   39249957          0          0   4.99e+03 428 438 74 0 0 0 0 0 0 0 0 0 0 0 0
  0.000355   39748339          0          0   5.06e+03 456 438 74 0 0 0 0 0 0 0 0 0 0 0 0
   0.00036   40248686          0          0   5.12e+03 451 438 74 0 0 0 0 0 0 0 0 0 0 0 0
  0.000365   40749909          0          0   5.19e+03 445 438 74 0 0 0 0 0 0 0 0 0 0 0 0
   0.00037   41248165          0          0   5.25e+03 440 438 74 0 0 0 0 0 0 0 0 0 0 0 0
  0.000375   41747210          0          0   5.32e+03 456 438 74 0 0 0 0 0 0 0 0 0 0 0 0
   0.00038   42245237          0          0   5.38e+03 459 438 74 0 0 0 0 0 0 0 0 0 0 0 0
  0.000385   42744619          0          0   5.44e+03 455 438 74 0 0 0 0 0 0 0 0 0 0 0 0
   0.00039   43242709          0          0   5.51e+03 429 438 74 0 0 0 0 0 0 0 0 0 0 0 0
  0.000395   43740299          0          0   5.57e+03 438 438 74 0 0 0 0 0 0 0 0 0 0 0 0
    0.0004   44240981          0          0   5.64e+03 432 438 74 0 0 0 0 0 0 0 0 0 0 0 0
Loop time of 5635.25 on 1 procs

Solve time (%) = 831.091 (14.7481)
Update time (%) = 0 (0)
Comm  time (%) = 0 (0)
Outpt time (%) = 1.80483 (0.0320274)
App   time (%) = 4800.77 (85.1917)
Other time (%) = 1.58989 (0.0282132)
